Cha Tae Sik 1,908,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Jong Seok,915,21.6,0.1,0.1,0.0,16.7,0.0,61.5
Jong Seok,939,20.6,0.0,0.0,0.1,46.4,0.3,32.6
Jeong So Mi,942,0.5,0.0,53.3,1.5,0.1,44.0,0.6
Cha Tae Sik 1,945,3.8,0.0,0.1,0.5,91.0,0.1,4.6
Jong Seok,952,0.0,0.0,0.0,0.0,99.9,0.0,0.0
Jeong So Mi,960,0.0,0.0,11.2,3.1,85.7,0.0,0.0
Cha Tae Sik 1,971,29.4,0.0,0.4,0.0,58.3,0.0,11.9
Cha Tae Sik 1,1018,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Man Seok,1032,0.2,0.0,6.7,0.1,91.4,0.0,1.7
Cha Tae Sik 1,1042,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Cha Tae Sik 1,1072,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Cha Tae Sik 1,1103,0.0,0.0,3.0,0.0,96.1,0.0,0.9
Cha Tae Sik 1,1109,0.2,0.0,2.3,0.0,13.7,0.0,83.8
Jeong So Mi,1117,3.7,0.0,84.4,0.0,11.9,0.0,0.0
Cha Tae Sik 1,1118,57.8,0.0,6.7,0.1,19.9,0.0,15.6
Jeong So Mi,1118,4.9,0.0,0.4,0.0,6.1,0.0,88.6
Cha Tae Sik 1,1120,0.2,0.0,0.5,0.1,3.7,0.0,95.6
Jeong So Mi,1125,0.3,0.0,98.2,0.0,1.5,0.0,0.0
Cha Tae Sik 1,1126,0.0,0.0,0.0,0.0,17.2,0.0,82.7
Jeong So Mi,1128,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Jeong So Mi,1136,1.1,0.0,1.3,0.0,2.1,0.0,95.4
Cha Tae Sik 1,1136,74.3,0.0,0.5,0.0,12.1,0.0,13.2
Jong Seok,1136,7.0,0.0,12.5,0.4,16.4,0.1,63.6
Man Seok,1141,1.0,0.0,0.0,0.0,1.4,0.0,97.5
Jeong So Mi,1141,0.0,0.0,0.0,0.0,99.9,0.0,0.0
Jeong So Mi,1145,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Jong Seok,1145,5.5,0.0,67.4,0.0,25.7,0.0,1.4
Cha Tae Sik 1,1151,0.1,0.0,0.1,0.0,30.2,0.0,69.7
Jeong So Mi,1152,0.4,0.0,74.6,0.0,2.7,0.0,22.4
Cha Tae Sik 2,1152,0.2,0.0,0.2,1.2,0.3,0.2,97.9
Jong Seok,1152,96.4,0.0,0.0,0.0,1.3,0.0,2.4
Cha Tae Sik 1,1152,0.7,0.0,3.0,0.2,7.1,5.1,84.0
Jeong So Mi,1156,0.0,0.0,87.8,0.0,12.2,0.0,0.0
Cha Tae Sik 1,1159,0.0,0.0,0.0,0.0,5.0,0.0,95.0
Jeong So Mi,1162,0.0,0.0,2.2,0.0,0.0,96.2,1.6
Cha Tae Sik 1,1162,2.2,0.0,1.3,0.7,6.0,0.0,89.7
Jeong So Mi,1166,0.0,0.0,16.3,0.3,70.8,0.0,12.6
Lam Loan,1183,0.2,0.0,3.6,0.1,77.6,0.0,18.5
Jong Seok,1208,0.3,0.0,0.2,1.0,12.1,0.0,86.4
Man Seok,1210,33.3,0.0,43.1,2.3,2.0,12.1,7.2
Jong Seok,1212,0.5,0.0,0.2,0.0,80.9,0.0,18.4
Cha Tae Sik 2,1217,1.5,0.0,94.0,0.0,4.4,0.0,0.1
Jeong So Mi,1221,0.0,0.0,0.0,0.3,99.1,0.0,0.7
Man Seok,1227,0.2,0.0,83.6,0.0,5.4,0.0,10.8
Jeong So Mi,1246,0.0,0.0,0.1,0.0,99.9,0.0,0.0
Jeong So Mi,1262,0.6,0.0,5.2,0.0,94.0,0.0,0.2
Cha Tae Sik 1,1263,0.1,0.0,26.7,1.8,68.9,0.0,2.5
Jong Seok,1266,27.3,0.0,0.4,1.0,37.3,0.0,34.0
Jeong So Mi,1271,0.1,0.0,8.5,0.0,91.4,0.0,0.0
Cha Tae Sik 1,1282,45.7,0.0,0.0,0.0,10.9,0.0,43.4
Jeong So Mi,1309,19.3,0.0,33.9,0.0,46.8,0.0,0.0
Jeong So Mi,1317,47.2,0.0,0.0,0.9,38.0,0.6,13.3
Cha Tae Sik 1,1361,1.7,0.0,0.1,0.0,97.0,0.0,1.2
Cha Tae Sik 1,1422,0.0,0.0,0.0,0.0,88.7,0.0,11.3
Jeong So Mi,1432,2.0,0.0,0.0,0.0,97.5,0.0,0.5
Jong Seok,1443,0.1,0.0,0.5,0.2,0.0,91.0,8.1
Jeong So Mi,1443,0.3,0.0,76.4,6.2,6.5,0.5,10.0
Jeong So Mi,1463,0.0,0.0,0.1,0.0,80.1,0.0,19.9
Man Seok,1464,3.6,0.0,0.0,0.0,16.2,0.0,80.2
Jong Seok,1464,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Lam Loan,1476,0.0,0.0,0.1,0.1,3.7,0.0,96.0
Cha Tae Sik 1,1487,0.0,0.0,0.0,0.0,99.9,0.0,0.0
Cha Tae Sik 1,1531,0.2,0.0,0.2,0.0,30.0,0.0,69.5
Jong Seok,1555,0.0,0.0,0.1,0.0,99.9,0.0,0.1
Cha Tae Sik 1,1567,0.0,0.0,0.0,0.0,99.0,0.0,1.0
Lam Loan,1570,0.2,0.0,0.0,0.0,17.2,0.0,82.6
Cha Tae Sik 1,1574,0.1,0.0,0.0,0.0,99.9,0.0,0.1
Lam Loan,1576,0.3,0.0,0.1,0.0,7.5,0.0,92.1
Cha Tae Sik 1,1579,0.1,0.0,0.0,0.0,99.2,0.0,0.7
Lam Loan,1582,3.3,0.0,2.1,0.0,58.8,0.0,35.8
Cha Tae Sik 1,1583,0.0,0.0,0.0,0.0,99.9,0.0,0.1
Cha Tae Sik 1,1586,0.0,0.0,0.6,0.0,99.4,0.0,0.0
Cha Tae Sik 1,1601,0.0,0.0,0.0,10.8,86.6,0.0,2.6
Jong Seok,1635,0.0,0.0,0.1,0.0,98.4,0.0,1.5
Jong Seok,1642,0.0,0.0,0.0,0.3,0.0,0.0,99.7
Lam Loan,1649,3.3,0.0,22.7,0.0,73.3,0.0,0.7
Man Seok,1649,0.1,0.0,0.1,0.0,90.9,0.0,9.0
Cha Tae Sik 1,1651,0.0,0.0,0.8,0.0,99.1,0.0,0.1
Lam Loan,1653,2.8,0.0,0.2,0.0,41.7,0.0,55.3
Cha Tae Sik 1,1659,0.0,0.0,0.2,0.0,99.8,0.0,0.0
Lam Loan,1661,0.2,0.0,0.0,0.0,1.5,0.0,98.3
Cha Tae Sik 1,1667,0.0,0.0,0.3,0.0,99.7,0.0,0.0
Cha Tae Sik 1,1672,0.2,0.0,0.8,0.0,98.9,0.0,0.1
Lam Loan,1673,0.0,0.0,0.0,0.0,0.0,0.2,99.8
Cha Tae Sik 2,1673,3.3,0.0,1.3,0.0,45.7,0.0,49.7
Cha Tae Sik 1,1678,0.0,0.0,0.9,0.0,99.1,0.0,0.0
Lam Loan,1680,5.8,0.0,0.0,0.0,13.6,0.0,80.5
Cha Tae Sik 1,1686,0.1,0.0,1.5,0.0,98.3,0.0,0.0
Jong Seok,1690,2.4,0.0,0.0,0.0,6.9,0.0,90.7
Cha Tae Sik 2,1697,0.1,0.0,0.1,0.0,97.6,0.0,2.1
Lam Loan,1707,0.8,0.0,0.7,0.0,62.9,0.0,35.6
Jong Seok,1714,2.1,0.0,2.9,0.0,87.8,0.0,7.1
Cha Tae Sik 1,1723,2.6,0.0,0.0,76.5,20.6,0.0,0.3
Jong Seok,1728,8.7,0.0,0.0,0.1,80.6,0.0,10.5
Jeong So Mi,1735,96.1,0.0,0.2,0.5,3.2,0.0,0.0
Cha Tae Sik 2,1739,37.0,0.0,1.0,0.2,28.3,0.0,33.5
Cha Tae Sik 1,1757,0.0,0.0,0.1,0.0,51.5,0.0,48.3
Cha Tae Sik 2,1775,0.0,0.0,0.1,0.0,99.8,0.0,0.1
Jong Seok,1775,0.0,0.0,0.3,0.0,99.5,0.0,0.2
Jong Seok,1779,15.7,0.0,66.0,0.1,15.9,0.1,2.1
Lam Loan,1787,0.5,0.0,0.0,0.6,0.8,0.0,98.0
Jong Seok,1787,14.1,0.0,55.5,0.0,30.4,0.0,0.0
Cha Tae Sik 1,1860,0.4,0.0,0.1,0.5,57.6,0.0,41.4
Man Seok,1875,7.2,0.0,1.8,3.3,56.2,0.4,31.0
Jong Seok,1875,4.0,0.0,21.2,3.3,14.2,0.5,56.7
Cha Tae Sik 1,1927,0.0,0.0,0.6,0.0,99.4,0.0,0.0
Cha Tae Sik 1,1929,0.0,0.0,0.0,0.0,14.2,0.0,85.8
Cha Tae Sik 1,1935,0.0,0.0,0.0,0.0,1.1,0.0,98.9
Man Seok,1957,0.1,0.0,0.1,0.1,99.2,0.0,0.5
Jong Seok,1967,69.7,0.0,7.1,0.0,22.8,0.0,0.4
Cha Tae Sik 1,2043,0.3,0.0,0.2,0.0,0.5,0.0,99.1
Cha Tae Sik 2,2048,0.4,0.0,0.1,0.0,8.1,0.0,91.3
Jeong So Mi,2048,8.8,0.0,8.2,0.0,5.1,0.5,77.4
Cha Tae Sik 1,2059,4.4,0.0,0.1,45.6,3.4,0.0,46.5
Jong Seok,2059,0.0,0.0,0.2,0.3,60.8,0.0,38.6
Cha Tae Sik 1,2060,4.4,1.5,25.0,52.9,16.1,0.0,0.2
Man Seok,2061,2.6,0.1,13.6,32.8,50.7,0.0,0.2
Cha Tae Sik 1,2061,0.0,0.0,2.4,0.6,96.6,0.0,0.4
Cha Tae Sik 1,2068,0.0,0.0,0.0,0.0,81.6,0.0,18.4
Man Seok,2068,0.2,0.0,3.1,0.1,96.5,0.0,0.1
Cha Tae Sik 1,2069,0.0,0.0,0.0,0.0,32.2,0.0,67.8
Cha Tae Sik 1,2074,0.0,0.0,0.0,0.0,90.6,0.0,9.4
Cha Tae Sik 1,2088,0.0,0.0,0.0,0.0,3.2,0.0,96.7
Cha Tae Sik 1,2096,0.0,0.0,0.0,0.0,36.0,0.0,63.9
Cha Tae Sik 1,2104,0.0,0.0,0.0,0.0,85.6,0.0,14.3
Cha Tae Sik 1,2108,0.0,0.0,0.0,0.0,19.6,0.0,80.4
Cha Tae Sik 1,2116,0.0,0.0,0.0,0.0,1.2,0.0,98.8
Cha Tae Sik 1,2124,0.0,0.0,0.0,0.0,1.6,0.0,98.4
Cha Tae Sik 1,2130,0.0,0.0,0.0,0.0,10.1,0.0,89.9
Cha Tae Sik 1,2132,57.1,0.0,0.3,0.3,0.3,0.0,42.0
Cha Tae Sik 1,2138,33.4,0.0,0.0,0.0,3.4,0.0,63.3
Cha Tae Sik 1,2143,0.0,0.0,0.0,0.1,0.1,0.0,99.8
Cha Tae Sik 1,2144,0.0,0.0,0.0,0.0,40.5,0.0,59.5
Cha Tae Sik 1,2146,0.5,0.0,0.0,0.0,17.9,0.0,81.6
Jeong So Mi,2183,7.0,0.0,11.6,21.0,20.6,4.4,35.4
Jong Seok,2183,0.0,0.0,5.4,7.1,40.6,0.0,46.9
Jeong So Mi,2201,4.0,0.0,44.8,4.5,0.7,45.9,0.0
Jong Seok,2201,1.0,0.0,1.4,0.0,42.2,0.0,55.4
Jong Seok,2203,0.0,0.0,6.9,3.8,18.7,0.1,70.5
Jeong So Mi,2203,0.2,0.0,16.6,0.8,22.7,9.3,50.4
Cha Tae Sik 1,2282,3.3,0.0,96.6,0.0,0.1,0.0,0.0
Cha Tae Sik 1,2291,9.8,0.0,5.7,0.0,6.2,0.0,78.2
Cha Tae Sik 1,2292,7.1,0.0,1.0,0.1,56.2,0.0,35.6
Cha Tae Sik 1,2311,58.0,0.0,0.2,0.0,23.1,0.0,18.7
Cha Tae Sik 1,2312,87.6,0.7,9.4,0.3,0.6,1.1,0.4
Jong Seok,2319,27.0,0.0,0.0,72.8,0.0,0.0,0.1
Cha Tae Sik 1,2328,70.5,0.0,21.9,0.1,7.4,0.0,0.0
Cha Tae Sik 1,2331,10.6,0.2,0.7,0.1,57.1,0.0,31.3
Jong Seok,2351,7.6,0.0,0.4,55.9,2.7,0.5,32.9
Jong Seok,2356,0.0,0.0,1.3,92.6,4.1,0.0,2.0
Jong Seok,2367,8.9,0.0,0.1,0.0,88.4,0.0,2.6
Jong Seok,2445,0.1,0.0,0.0,0.0,0.3,0.0,99.6
Cha Tae Sik 1,2571,12.9,0.0,6.5,0.0,77.2,0.0,3.4
Cha Tae Sik 1,2575,1.6,0.0,4.0,0.0,93.9,0.0,0.5
Jong Seok,2580,60.6,0.0,21.2,0.2,13.2,0.2,4.7
Cha Tae Sik 1,2587,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Jong Seok,2726,0.0,0.0,0.6,0.0,99.4,0.0,0.0
Jeong So Mi,2729,1.4,0.0,0.0,0.0,91.4,0.0,7.2
Jeong So Mi,2731,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Jeong So Mi,2733,3.8,0.0,0.5,0.0,95.6,0.0,0.0
Jeong So Mi,2736,0.1,0.0,0.0,0.0,0.1,0.0,99.8
Jeong So Mi,2767,0.7,0.0,2.0,0.0,90.7,0.0,6.7
Jeong So Mi,2769,1.2,0.0,1.0,0.0,52.9,0.0,44.8
Jong Seok,2775,1.7,0.0,0.0,0.0,12.5,0.0,85.8
Jeong So Mi,2825,0.1,0.0,0.1,0.0,88.2,0.0,11.6
Man Seok,2952,51.4,0.0,14.5,0.0,22.3,2.1,9.7
Jong Seok,2958,0.1,0.0,0.3,0.6,12.1,0.1,86.8
Jong Seok,2961,0.5,0.0,1.8,0.1,27.1,0.0,70.5
Jeong So Mi,2965,85.2,0.0,2.1,1.4,7.9,0.2,3.2
Jong Seok,2965,6.5,0.0,32.7,0.0,45.0,0.0,15.8
Man Seok,2972,0.1,0.0,0.0,0.0,1.1,0.0,98.7
Jong Seok,2976,0.0,0.0,0.0,0.0,1.2,0.0,98.8
Jong Seok,2981,2.8,0.0,2.4,0.0,47.1,0.4,47.3
Jong Seok,2986,0.2,0.0,0.0,99.7,0.0,0.0,0.1
Jong Seok,2993,3.2,0.3,18.1,0.6,38.2,0.0,39.6
Jong Seok,2996,0.0,0.0,0.9,0.6,21.1,0.0,77.4
Jong Seok,3002,0.1,0.0,58.7,3.9,0.8,14.3,22.1
Jong Seok,3005,67.7,0.0,0.2,0.0,32.1,0.0,0.0
Jong Seok,3008,4.5,0.0,10.5,0.2,58.8,0.0,25.9
Jong Seok,3009,86.9,3.9,0.9,0.2,7.7,0.0,0.5
Jong Seok,3013,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Jong Seok,3015,0.0,0.0,93.3,0.4,0.0,6.3,0.0
Jong Seok,3016,0.0,0.0,0.8,1.2,0.1,0.0,97.9
Cha Tae Sik 2,3018,4.2,0.0,0.5,0.0,25.2,0.0,70.1
Jong Seok,3018,0.0,0.0,0.1,0.0,97.2,0.0,2.7
Jong Seok,3069,8.8,0.0,1.2,0.0,87.0,0.0,3.0
Lam Loan,3076,0.3,0.0,0.0,0.1,0.2,0.0,99.4
Lam Loan,3085,0.0,0.0,0.0,0.0,0.1,0.0,99.8
Lam Loan,3087,0.0,0.0,0.3,0.1,0.6,0.0,99.0
Cha Tae Sik 1,3140,0.1,0.0,0.3,1.1,3.5,0.0,95.0
Cha Tae Sik 1,3149,0.0,0.0,0.1,0.0,99.9,0.0,0.0
Cha Tae Sik 1,3153,0.1,0.0,0.0,0.0,10.8,0.0,89.1
Jong Seok,3162,0.0,0.0,0.1,0.0,99.9,0.0,0.0
Cha Tae Sik 1,3183,0.0,0.0,0.0,0.0,1.9,0.0,98.1
Cha Tae Sik 1,3192,1.0,0.0,1.6,0.1,27.8,0.1,69.3
Jong Seok,3216,0.0,0.0,0.0,0.0,13.3,0.0,86.7
Jong Seok,3230,0.8,0.0,0.4,0.0,98.6,0.0,0.3
Jeong So Mi,3304,3.6,0.0,76.5,0.0,18.6,0.1,1.2
Cha Tae Sik 2,3304,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Cha Tae Sik 2,3306,45.2,0.0,0.0,0.0,54.0,0.0,0.8
Cha Tae Sik 1,3347,0.0,0.0,0.0,0.0,99.1,0.0,0.9
Man Seok,3347,0.8,0.0,3.9,0.0,91.6,0.0,3.7
Cha Tae Sik 1,3373,0.0,0.0,0.0,0.0,99.9,0.0,0.0
Cha Tae Sik 1,3374,0.0,0.0,3.3,0.0,96.7,0.0,0.0
Cha Tae Sik 1,3389,1.1,0.0,2.3,0.0,94.9,0.0,1.7
Cha Tae Sik 1,3393,0.7,0.0,2.6,0.1,93.6,0.0,3.0
Man Seok,3394,3.5,0.0,0.0,0.0,69.3,0.0,27.2
Cha Tae Sik 1,3396,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Man Seok,3400,0.1,0.0,0.0,79.7,0.1,0.0,20.2
Man Seok,3404,0.2,0.0,0.0,0.0,12.4,0.0,87.4
Jong Seok,3404,64.9,0.0,0.0,0.0,31.9,0.0,3.2
Jong Seok,3422,0.2,0.0,0.2,0.0,4.6,0.0,95.0
Jong Seok,3430,8.1,0.0,0.0,0.1,90.9,0.0,0.9
Jeong So Mi,3438,0.1,0.0,56.3,0.6,40.6,0.7,1.8
Jong Seok,3438,1.0,0.0,0.8,0.0,68.9,0.0,29.3
Jong Seok,3440,0.0,0.0,4.6,0.3,83.2,0.0,11.9
Jeong So Mi,3441,0.1,0.0,0.0,99.6,0.2,0.0,0.2
Jong Seok,3441,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Jong Seok,3443,0.0,0.0,0.0,0.0,99.9,0.0,0.0
Jeong So Mi,3444,0.1,0.0,1.0,0.0,68.0,0.0,30.9
Jong Seok,3444,0.0,0.0,0.9,0.0,99.1,0.0,0.0
Man Seok,3531,0.7,0.0,0.3,0.1,0.8,0.2,98.0
Cha Tae Sik 1,3531,0.0,0.0,0.0,0.0,3.9,0.0,96.1
Jong Seok,3539,0.1,0.0,1.5,0.0,98.4,0.0,0.0
Cha Tae Sik 1,3541,0.0,0.0,0.0,0.0,94.4,0.0,5.5
Jong Seok,3547,0.2,0.0,1.0,0.0,97.5,0.0,1.2
Jong Seok,3549,1.3,0.0,0.4,0.0,97.8,0.0,0.5
Jong Seok,3555,90.9,0.0,4.7,4.3,0.1,0.0,0.0
Cha Tae Sik 1,3562,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Cha Tae Sik 1,3573,0.1,0.0,8.7,0.0,90.8,0.0,0.4
Cha Tae Sik 1,3579,1.0,0.0,8.2,0.0,84.2,0.0,6.6
Lam Loan,3583,0.9,0.0,0.1,0.0,21.7,0.0,77.3
Lam Loan,3585,3.1,0.0,7.8,0.0,23.8,0.0,65.3
Lam Loan,3597,0.5,0.0,0.2,0.1,2.5,0.1,96.6
Lam Loan,3601,0.8,0.0,0.0,0.1,0.9,0.0,98.3
Lam Loan,3608,0.9,0.0,0.0,0.0,0.4,0.0,98.6
Lam Loan,3610,5.6,0.0,0.2,0.0,10.5,0.0,83.7
Lam Loan,3613,26.5,0.0,10.5,8.6,21.8,7.0,25.6
Lam Loan,3615,0.1,0.0,0.1,0.0,66.0,0.0,33.8
Lam Loan,3616,7.0,0.0,40.5,0.0,31.9,0.0,20.6
Lam Loan,3622,0.0,0.0,85.5,0.0,14.0,0.0,0.4
Jong Seok,3624,2.4,0.0,2.8,0.0,1.0,0.0,93.8
Lam Loan,3629,99.5,0.0,0.3,0.0,0.2,0.1,0.0
Jong Seok,3636,40.3,0.0,47.4,2.9,7.5,0.0,1.8
Lam Loan,3641,7.3,0.0,0.8,0.2,72.5,0.0,19.2
Jong Seok,3642,0.4,0.0,25.1,0.0,34.1,0.0,40.2
Jong Seok,3652,39.3,0.0,11.5,49.0,0.0,0.2,0.0
Cha Tae Sik 1,3653,16.1,0.0,6.9,0.0,33.6,0.0,43.4
Lam Loan,3664,27.9,0.0,2.1,0.0,1.9,0.0,68.0
Lam Loan,3666,10.1,0.0,24.1,0.0,53.7,0.0,12.1
Lam Loan,3668,65.2,0.0,25.5,8.3,0.5,0.5,0.1
Jeong So Mi,3673,0.0,0.0,0.3,0.0,94.9,0.0,4.9
Lam Loan,3681,0.1,0.0,0.0,0.0,2.3,0.0,97.6
Lam Loan,3709,0.0,0.0,0.0,0.1,58.2,0.0,41.7
Cha Tae Sik 1,3716,0.2,0.0,0.0,0.0,2.3,0.0,97.4
Jeong So Mi,3716,1.5,0.0,0.1,0.0,83.1,0.0,15.3
Cha Tae Sik 1,3725,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Cha Tae Sik 1,3729,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Man Seok,3730,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeong So Mi,3730,0.0,0.0,10.5,1.8,35.3,0.0,52.4
Lam Loan,3732,0.8,0.0,1.1,0.0,91.4,0.0,6.7
Man Seok,3732,0.5,0.0,0.0,30.5,14.3,0.0,54.8
Man Seok,3736,0.9,0.0,0.0,99.0,0.0,0.0,0.0
Man Seok,3739,47.9,0.0,0.3,0.0,51.5,0.0,0.3
Man Seok,3740,3.4,0.0,0.0,13.0,32.4,0.0,51.2
Man Seok,3741,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Man Seok,3743,0.0,0.0,17.7,0.0,13.6,0.0,68.7
Lam Loan,3744,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Cha Tae Sik 1,3746,0.3,0.0,0.2,0.1,3.7,0.0,95.8
Lam Loan,3748,27.5,0.0,0.1,4.3,61.4,0.0,6.7
Lam Loan,3749,1.4,0.0,0.0,0.3,3.9,0.0,94.4
Jeong So Mi,3749,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Cha Tae Sik 2,3749,0.0,0.0,96.3,0.5,3.2,0.0,0.1
Cha Tae Sik 1,3752,0.8,0.0,0.0,0.0,58.0,0.0,41.2
Jong Seok,3771,0.0,0.0,0.0,0.0,3.1,0.0,96.8
Jong Seok,3772,3.5,0.0,0.0,0.2,39.5,0.0,56.8
Man Seok,3775,0.0,0.0,0.1,0.0,1.1,0.0,98.8
Cha Tae Sik 1,3776,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Man Seok,3781,64.8,0.0,0.1,1.7,18.3,0.6,14.5
Cha Tae Sik 1,3806,0.0,0.0,21.1,3.9,74.9,0.0,0.1
Jong Seok,3815,2.7,0.0,0.0,87.0,6.5,0.0,3.8
Jong Seok,3819,0.8,0.0,12.1,0.0,86.1,0.0,1.0
Cha Tae Sik 1,3839,0.0,0.0,0.0,0.0,10.1,0.0,89.8
Cha Tae Sik 1,3840,4.5,0.0,15.7,0.1,26.2,0.0,53.5
Lam Loan,3859,6.5,0.0,0.2,0.0,34.4,0.0,58.9
Man Seok,3861,0.0,0.0,54.6,0.0,16.9,0.0,28.5
Cha Tae Sik 1,3866,6.9,0.0,12.6,0.6,40.4,0.7,38.9
Man Seok,3868,0.0,0.0,97.9,0.0,2.1,0.0,0.0
Cha Tae Sik 1,3871,0.0,0.0,0.0,0.0,1.9,0.0,98.1
Jeong So Mi,3873,4.8,0.0,1.6,91.1,2.5,0.0,0.0
Cha Tae Sik 1,3874,0.6,0.0,0.8,0.0,67.3,0.0,31.3
Man Seok,3878,2.1,0.0,18.0,0.7,66.6,0.0,12.6
Cha Tae Sik 1,3882,1.8,0.0,13.4,0.0,84.2,0.0,0.5
Jeong So Mi,3885,8.2,0.0,82.6,0.0,8.7,0.0,0.4
Man Seok,3918,13.8,0.0,57.9,0.0,28.3,0.0,0.0
Jong Seok,4249,53.9,0.0,0.2,13.9,14.1,3.6,14.2
Jong Seok,4358,1.8,0.0,0.0,15.5,82.6,0.0,0.0
Cha Tae Sik 1,4387,99.9,0.0,0.0,0.0,0.0,0.0,0.0
Cha Tae Sik 1,4406,15.2,0.0,1.8,0.0,4.7,0.0,78.2
Cha Tae Sik 2,4416,0.7,0.0,14.5,0.6,1.2,0.0,82.9
Cha Tae Sik 2,4419,3.3,0.0,0.0,19.3,0.2,0.0,77.2
Jong Seok,4443,0.0,0.0,3.6,0.0,95.1,0.0,1.3
Cha Tae Sik 2,4467,6.1,0.0,0.2,0.0,44.8,0.0,48.9
